TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1597175847282	0.017957	-34.122021	0.135278	0.707414	0.000851	0.000814	-0.706799	1.000000	0.000000	0.000000	3	0	4261.111816	13.827621	img__0_1597175847280713000.jpg
1597175847489	0.019172	-35.513180	0.135044	0.707422	0.001424	0.001388	-0.706788	1.000000	0.000000	0.000000	3	0	4210.623047	14.048311	img__0_1597175847487667000.jpg
1597175847698	0.020444	-36.928658	0.135167	0.707432	0.001130	0.001094	-0.706779	1.000000	0.000000	0.000000	3	0	4168.770508	14.378999	img__0_1597175847697064500.jpg
1597175847901	0.021780	-38.374317	0.135008	0.707442	0.001515	0.001481	-0.706768	1.000000	0.000000	0.000000	3	0	4143.727539	14.591479	img__0_1597175847900429800.jpg
1597175848094	0.023176	-39.843189	0.135133	0.707451	0.001217	0.001183	-0.706760	1.000000	0.000000	0.000000	3	0	4125.591797	14.895523	img__0_1597175848093697700.jpg
1597175848311	0.024639	-41.340126	0.135016	0.707460	0.001498	0.001465	-0.706750	1.000000	0.000000	0.000000	3	0	4120.164063	15.102969	img__0_1597175848310119200.jpg
1597175848526	0.026160	-42.859451	0.135125	0.707470	0.001234	0.001201	-0.706741	1.000000	0.000000	0.000000	3	0	4119.818359	15.384722	img__0_1597175848525727800.jpg
1597175848737	0.027747	-44.405098	0.135038	0.707478	0.001443	0.001412	-0.706732	1.000000	0.000000	0.000000	3	0	4128.795410	15.589949	img__0_1597175848736536900.jpg
1597175848934	0.029399	-45.972576	0.135127	0.707488	0.001228	0.001196	-0.706723	1.000000	0.000000	0.000000	3	0	4141.363281	15.853158	img__0_1597175848933495400.jpg
1597175849143	0.031116	-47.564949	0.135062	0.707496	0.001382	0.001351	-0.706714	1.000000	0.000000	0.000000	3	0	4160.593750	16.058218	img__0_1597175849142023200.jpg
1597175849336	0.032896	-49.178822	0.135130	0.707506	0.001218	0.001186	-0.706706	1.000000	0.000000	0.000000	3	0	4182.316895	16.306057	img__0_1597175849334740800.jpg
1597175849540	0.034741	-50.816441	0.135085	0.707514	0.001326	0.001294	-0.706697	1.000000	0.000000	0.000000	3	0	4208.680664	16.512157	img__0_1597175849538895500.jpg
1597175849744	0.036650	-52.475361	0.135133	0.707523	0.001209	0.001178	-0.706688	1.000000	0.000000	0.000000	3	0	4236.784668	16.747410	img__0_1597175849743502800.jpg
1597175849944	0.038630	-54.157089	0.135104	0.707532	0.001278	0.001247	-0.706680	1.000000	0.000000	0.000000	3	0	4268.022949	16.954939	img__0_1597175849943397100.jpg
